defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost
100,8,Functional,2024-04-24,Surface,Minor,Visual Inspection,673.85
101,27,Structural,2024-01-25,Internal,Minor,Manual Testing,871.1
102,79,Structural,2024-06-25,Internal,Critical,Visual Inspection,973.66
103,87,Functional,2024-05-31,Internal,Critical,Visual Inspection,787.42
104,1,Structural,2024-06-25,Surface,Minor,Manual Testing,338.48
105,49,Structural,2024-04-30,Component,Critical,Visual Inspection,922.07
106,9,Functional,2024-05-14,Surface,Moderate,Manual Testing,137.41
107,63,Structural,2024-06-28,Surface,Critical,Automated Testing,17.89
108,97,Cosmetic,2024-01-26,Surface,Moderate,Manual Testing,210.3
109,1,Cosmetic,2024-02-22,Component,Critical,Automated Testing,978.5
110,44,Functional,2024-03-05,Surface,Minor,Visual Inspection,381.15
111,27,Structural,2024-05-06,Component,Moderate,Manual Testing,302.42
112,9,Cosmetic,2024-01-12,Component,Minor,Automated Testing,813.46
113,67,Cosmetic,2024-04-08,Surface,Minor,Automated Testing,998.27
114,83,Functional,2024-01-25,Component,Critical,Manual Testing,498.47
115,66,Functional,2024-04-30,Internal,Moderate,Visual Inspection,362.23
116,36,Cosmetic,2024-01-09,Internal,Critical,Visual Inspection,194.79
117,64,Cosmetic,2024-01-11,Surface,Moderate,Visual Inspection,677.65
118,66,Structural,2024-04-10,Surface,Critical,Manual Testing,310.8
119,99,Structural,2024-03-05,Surface,Minor,Visual Inspection,717.21
120,80,Functional,2024-03-08,Component,Critical,Manual Testing,641.58
121,86,Structural,2024-06-09,Internal,Minor,Manual Testing,520.84
122,51,Structural,2024-04-16,Surface,Critical,Manual Testing,271.18
123,79,Cosmetic,2024-02-04,Internal,Minor,Manual Testing,657.81
124,100,Functional,2024-03-27,Internal,Moderate,Manual Testing,620.66
125,86,Cosmetic,2024-03-10,Surface,Critical,Visual Inspection,533.03
126,29,Structural,2024-02-01,Surface,Minor,Visual Inspection,21.77
127,68,Cosmetic,2024-05-19,Surface,Minor,Manual Testing,302.22
128,92,Cosmetic,2024-03-02,Internal,Moderate,Automated Testing,895.38
129,14,Cosmetic,2024-06-20,Surface,Critical,Visual Inspection,241.61
130,72,Cosmetic,2024-04-06,Internal,Critical,Automated Testing,878.46
131,61,Functional,2024-05-15,Internal,Critical,Visual Inspection,268.08
132,63,Structural,2024-04-23,Surface,Critical,Visual Inspection,492.32
133,86,Structural,2024-03-20,Surface,Moderate,Manual Testing,379.78
134,98,Cosmetic,2024-02-03,Surface,Moderate,Visual Inspection,498.71
135,61,Cosmetic,2024-02-15,Internal,Moderate,Automated Testing,379.01
136,67,Functional,2024-02-21,Internal,Minor,Automated Testing,79.52
137,2,Functional,2024-04-19,Internal,Critical,Automated Testing,602.25
138,11,Structural,2024-03-05,Component,Critical,Automated Testing,575.71
139,58,Cosmetic,2024-06-24,Surface,Critical,Visual Inspection,760.33
140,68,Functional,2024-04-04,Internal,Critical,Manual Testing,955.54
141,28,Cosmetic,2024-01-06,Internal,Minor,Visual Inspection,679.88
142,63,Structural,2024-03-25,Internal,Critical,Visual Inspection,71.91
143,100,Functional,2024-05-27,Internal,Moderate,Manual Testing,916.79
144,45,Cosmetic,2024-06-18,Internal,Moderate,Manual Testing,558.34
145,25,Structural,2024-01-16,Internal,Minor,Manual Testing,23.02
146,43,Cosmetic,2024-04-26,Internal,Minor,Visual Inspection,346.23
147,45,Structural,2024-04-05,Internal,Critical,Automated Testing,926.31
148,84,Cosmetic,2024-01-29,Internal,Critical,Automated Testing,783.88
149,41,Cosmetic,2024-01-25,Surface,Moderate,Automated Testing,747.18
150,53,Functional,2024-03-22,Surface,Critical,Manual Testing,415.84
151,61,Structural,2024-06-07,Component,Minor,Visual Inspection,502.15
152,97,Structural,2024-01-27,Internal,Moderate,Manual Testing,94.7
153,63,Cosmetic,2024-01-09,Surface,Minor,Manual Testing,426.04
154,75,Cosmetic,2024-05-03,Surface,Moderate,Automated Testing,380.52
155,10,Structural,2024-01-24,Component,Minor,Visual Inspection,935.64
156,56,Functional,2024-05-21,Internal,Minor,Manual Testing,595.9
157,96,Functional,2024-05-07,Surface,Minor,Manual Testing,788.22
158,96,Functional,2024-01-16,Surface,Critical,Visual Inspection,465.74
159,77,Structural,2024-05-19,Internal,Moderate,Automated Testing,661.8
160,91,Structural,2024-05-17,Surface,Moderate,Manual Testing,532.77
161,56,Cosmetic,2024-05-21,Component,Minor,Visual Inspection,612.03
162,56,Functional,2024-02-09,Component,Moderate,Manual Testing,614.11
163,12,Cosmetic,2024-01-30,Surface,Minor,Manual Testing,238.39
164,6,Structural,2024-04-20,Internal,Minor,Visual Inspection,986.51
165,30,Cosmetic,2024-05-06,Component,Critical,Automated Testing,796.76
166,34,Functional,2024-02-15,Component,Minor,Visual Inspection,105.27
167,99,Cosmetic,2024-01-27,Surface,Moderate,Automated Testing,950.97
168,14,Structural,2024-06-29,Surface,Critical,Visual Inspection,517.41
169,70,Cosmetic,2024-06-03,Surface,Critical,Manual Testing,789.62
170,4,Functional,2024-05-16,Internal,Moderate,Visual Inspection,942.03
171,74,Cosmetic,2024-04-26,Surface,Moderate,Manual Testing,352.05
172,25,Cosmetic,2024-01-02,Component,Critical,Automated Testing,10.22
173,74,Cosmetic,2024-03-29,Component,Moderate,Automated Testing,932.23
174,51,Functional,2024-05-29,Surface,Critical,Automated Testing,715.22
175,6,Structural,2024-02-19,Internal,Moderate,Manual Testing,999.64
176,13,Structural,2024-03-09,Surface,Critical,Manual Testing,952.49
177,34,Structural,2024-01-21,Internal,Minor,Manual Testing,174.76
178,51,Functional,2024-01-17,Internal,Minor,Visual Inspection,755.15
179,44,Structural,2024-04-23,Surface,Moderate,Automated Testing,532.6
180,64,Structural,2024-01-07,Component,Minor,Manual Testing,854.25
181,91,Functional,2024-02-29,Internal,Minor,Automated Testing,383.83
182,80,Functional,2024-01-27,Internal,Moderate,Manual Testing,80
183,8,Structural,2024-02-02,Component,Critical,Visual Inspection,970.31
184,14,Functional,2024-02-09,Internal,Moderate,Visual Inspection,517.63
185,64,Structural,2024-01-15,Surface,Moderate,Automated Testing,81.33
186,21,Structural,2024-03-29,Component,Critical,Manual Testing,540.92
187,13,Cosmetic,2024-04-27,Internal,Critical,Visual Inspection,280.77
188,56,Structural,2024-06-02,Internal,Moderate,Automated Testing,87.28
189,95,Cosmetic,2024-02-23,Surface,Minor,Manual Testing,306.56
190,4,Functional,2024-06-22,Surface,Critical,Automated Testing,86.46
191,80,Cosmetic,2024-01-12,Surface,Critical,Manual Testing,13.03
192,95,Functional,2024-03-21,Component,Critical,Visual Inspection,525.07
193,28,Cosmetic,2024-05-21,Component,Critical,Manual Testing,219.71
194,1,Structural,2024-03-03,Component,Critical,Visual Inspection,192.21
195,17,Structural,2024-02-18,Component,Moderate,Automated Testing,924.13
196,18,Structural,2024-06-21,Component,Minor,Manual Testing,65.23
197,76,Cosmetic,2024-05-28,Internal,Moderate,Automated Testing,481.7
198,28,Cosmetic,2024-04-14,Surface,Minor,Manual Testing,561.27
199,75,Structural,2024-01-30,Internal,Moderate,Visual Inspection,169.54
200,78,Cosmetic,2024-04-04,Surface,Moderate,Visual Inspection,629.38
201,8,Cosmetic,2024-01-04,Surface,Critical,Automated Testing,783.36
202,97,Structural,2024-05-25,Surface,Moderate,Automated Testing,102.88
203,22,Structural,2024-04-05,Component,Minor,Manual Testing,269.04
204,82,Functional,2024-01-20,Surface,Moderate,Visual Inspection,257.33
205,17,Structural,2024-05-28,Component,Critical,Automated Testing,824.37
206,59,Functional,2024-05-29,Surface,Minor,Manual Testing,303.59
207,69,Functional,2024-04-22,Internal,Critical,Automated Testing,793.3
208,22,Functional,2024-01-31,Surface,Critical,Manual Testing,929.05
209,76,Functional,2024-05-20,Internal,Moderate,Manual Testing,473.36
210,59,Functional,2024-01-25,Surface,Minor,Automated Testing,478.17
211,61,Structural,2024-03-12,Component,Critical,Manual Testing,430.49
212,69,Functional,2024-05-07,Surface,Moderate,Automated Testing,460.93
213,75,Cosmetic,2024-01-30,Internal,Moderate,Visual Inspection,917.3
214,42,Structural,2024-01-02,Surface,Minor,Manual Testing,520.21
215,38,Functional,2024-01-07,Internal,Critical,Manual Testing,575.58
216,5,Structural,2024-01-13,Internal,Moderate,Visual Inspection,296.41
217,10,Cosmetic,2024-05-28,Surface,Critical,Automated Testing,622.98
218,21,Functional,2024-05-10,Internal,Critical,Visual Inspection,484.08
219,92,Cosmetic,2024-04-26,Component,Critical,Manual Testing,479.31
220,29,Functional,2024-04-05,Surface,Minor,Manual Testing,624.22
221,49,Functional,2024-06-11,Component,Critical,Manual Testing,777.18
222,28,Functional,2024-02-12,Component,Critical,Automated Testing,842.93
223,87,Cosmetic,2024-01-26,Surface,Critical,Manual Testing,974.99
224,51,Functional,2024-04-24,Component,Critical,Manual Testing,989.81
225,64,Structural,2024-04-23,Component,Moderate,Visual Inspection,484.04
226,77,Cosmetic,2024-06-04,Internal,Minor,Automated Testing,38.39
227,23,Functional,2024-06-23,Surface,Minor,Visual Inspection,334.53
228,89,Functional,2024-02-04,Component,Moderate,Manual Testing,580.74
229,30,Functional,2024-03-24,Surface,Critical,Manual Testing,638.28
230,88,Structural,2024-01-28,Component,Minor,Manual Testing,727.86
231,47,Structural,2024-03-11,Internal,Moderate,Manual Testing,117.74
232,74,Functional,2024-05-25,Component,Critical,Automated Testing,891.94
233,53,Structural,2024-03-17,Surface,Minor,Visual Inspection,440.58
234,39,Structural,2024-02-17,Internal,Minor,Automated Testing,310.96
235,4,Cosmetic,2024-01-28,Internal,Critical,Manual Testing,430.74
236,29,Cosmetic,2024-05-05,Surface,Minor,Automated Testing,47.99
237,31,Cosmetic,2024-06-30,Component,Moderate,Visual Inspection,728.13
238,75,Structural,2024-02-06,Component,Critical,Visual Inspection,890.35
239,88,Functional,2024-03-12,Surface,Minor,Manual Testing,356.55
240,14,Structural,2024-05-04,Internal,Moderate,Visual Inspection,271.51
241,80,Structural,2024-03-19,Surface,Minor,Manual Testing,288.31
242,13,Functional,2024-02-08,Component,Critical,Automated Testing,663.49
243,5,Functional,2024-06-18,Internal,Moderate,Manual Testing,711.77
244,67,Structural,2024-06-04,Surface,Moderate,Visual Inspection,822.12
245,35,Cosmetic,2024-05-27,Component,Critical,Visual Inspection,889.52
246,81,Structural,2024-03-30,Surface,Minor,Automated Testing,471.55
247,24,Cosmetic,2024-04-22,Internal,Critical,Automated Testing,136.69
248,65,Structural,2024-03-27,Component,Minor,Automated Testing,148.61
249,13,Structural,2024-05-16,Surface,Moderate,Manual Testing,768.39
250,65,Cosmetic,2024-06-07,Component,Moderate,Manual Testing,545.52
251,33,Structural,2024-01-29,Component,Moderate,Automated Testing,978.58
252,92,Cosmetic,2024-05-16,Internal,Critical,Visual Inspection,62.59
253,25,Functional,2024-05-01,Component,Minor,Automated Testing,146.53
254,33,Functional,2024-05-02,Surface,Minor,Automated Testing,168.3
255,63,Cosmetic,2024-01-02,Internal,Critical,Manual Testing,225.2
256,23,Structural,2024-06-18,Surface,Minor,Manual Testing,875.37
257,47,Structural,2024-06-03,Surface,Minor,Manual Testing,772.77
258,78,Structural,2024-05-07,Component,Minor,Automated Testing,617.12
259,74,Functional,2024-03-20,Surface,Moderate,Manual Testing,900.61
260,70,Structural,2024-03-03,Surface,Minor,Manual Testing,159.25
261,59,Functional,2024-03-02,Internal,Minor,Manual Testing,16.62
262,77,Functional,2024-02-25,Surface,Minor,Automated Testing,906.96
263,96,Functional,2024-05-03,Internal,Minor,Manual Testing,446.61
264,39,Structural,2024-01-29,Surface,Minor,Manual Testing,406.06
265,54,Structural,2024-06-08,Component,Minor,Automated Testing,286.25
266,74,Structural,2024-06-22,Surface,Critical,Manual Testing,319.6
267,57,Functional,2024-06-04,Surface,Moderate,Manual Testing,798.16
268,48,Functional,2024-01-05,Component,Critical,Manual Testing,674.23
269,99,Cosmetic,2024-03-09,Component,Minor,Manual Testing,940.48
270,71,Functional,2024-04-05,Internal,Critical,Visual Inspection,42.63
271,37,Cosmetic,2024-06-26,Surface,Critical,Automated Testing,433.02
272,65,Structural,2024-04-09,Internal,Minor,Manual Testing,606.91
273,94,Structural,2024-06-15,Surface,Moderate,Automated Testing,129.41
274,83,Cosmetic,2024-02-05,Surface,Critical,Manual Testing,444.1
275,71,Functional,2024-05-29,Surface,Moderate,Manual Testing,634.26
276,46,Cosmetic,2024-01-13,Surface,Moderate,Manual Testing,672.89
277,56,Functional,2024-05-22,Internal,Minor,Visual Inspection,557.67
278,34,Functional,2024-06-22,Internal,Minor,Manual Testing,272.53
279,19,Structural,2024-02-17,Internal,Minor,Visual Inspection,503.24
280,27,Functional,2024-04-23,Surface,Critical,Visual Inspection,611.37
281,69,Cosmetic,2024-01-24,Surface,Minor,Visual Inspection,501.54
282,90,Structural,2024-05-20,Surface,Minor,Manual Testing,290.23
283,63,Cosmetic,2024-01-30,Internal,Moderate,Manual Testing,195.84
284,86,Structural,2024-04-09,Internal,Moderate,Visual Inspection,88.05
285,82,Structural,2024-05-17,Surface,Critical,Manual Testing,97.99
286,65,Structural,2024-06-19,Internal,Critical,Visual Inspection,349.24
287,14,Structural,2024-01-31,Internal,Critical,Manual Testing,421.51
288,48,Structural,2024-05-26,Internal,Critical,Manual Testing,422.77
289,61,Structural,2024-02-07,Internal,Minor,Automated Testing,925.03
290,35,Structural,2024-02-27,Internal,Minor,Automated Testing,319.58
291,67,Functional,2024-04-22,Surface,Moderate,Automated Testing,556.42
292,16,Structural,2024-02-04,Surface,Minor,Automated Testing,818.54
293,44,Structural,2024-01-02,Internal,Moderate,Automated Testing,320.62
294,80,Cosmetic,2024-03-31,Internal,Moderate,Manual Testing,178.82
295,83,Structural,2024-02-29,Surface,Critical,Manual Testing,237.65
296,93,Structural,2024-03-14,Component,Moderate,Manual Testing,658.16
297,43,Structural,2024-01-23,Surface,Minor,Visual Inspection,326.58
298,87,Cosmetic,2024-02-14,Surface,Minor,Manual Testing,301.61
299,56,Cosmetic,2024-05-26,Surface,Minor,Visual Inspection,357.56
300,3,Functional,2024-04-26,Internal,Critical,Manual Testing,358.21
301,22,Structural,2024-05-03,Surface,Moderate,Manual Testing,89.91
302,85,Cosmetic,2024-05-06,Internal,Minor,Automated Testing,18.42
303,80,Functional,2024-04-25,Component,Moderate,Visual Inspection,294.31
304,17,Functional,2024-04-24,Internal,Minor,Visual Inspection,865.96
305,35,Cosmetic,2024-06-12,Component,Minor,Visual Inspection,578.28
306,39,Structural,2024-02-13,Surface,Critical,Visual Inspection,495.87
307,30,Functional,2024-06-19,Component,Minor,Visual Inspection,728.39
308,47,Cosmetic,2024-01-08,Component,Minor,Manual Testing,949.72
309,24,Structural,2024-03-23,Component,Moderate,Manual Testing,56.12
310,76,Structural,2024-05-26,Component,Moderate,Automated Testing,56.35
311,38,Structural,2024-04-08,Internal,Minor,Manual Testing,651.35
312,47,Cosmetic,2024-02-23,Component,Minor,Manual Testing,471.27
313,82,Cosmetic,2024-05-29,Surface,Moderate,Visual Inspection,732.6
314,36,Cosmetic,2024-02-19,Component,Minor,Automated Testing,865.3
315,40,Functional,2024-01-15,Internal,Minor,Automated Testing,49.2
316,28,Cosmetic,2024-06-09,Surface,Critical,Manual Testing,567.72
317,31,Cosmetic,2024-01-09,Surface,Moderate,Visual Inspection,490.53
318,34,Functional,2024-03-03,Component,Minor,Manual Testing,11.38
319,56,Functional,2024-02-23,Component,Moderate,Visual Inspection,409.72
320,45,Functional,2024-01-05,Component,Minor,Visual Inspection,515.07
321,32,Structural,2024-06-06,Component,Moderate,Visual Inspection,42.44
322,54,Functional,2024-05-30,Internal,Critical,Automated Testing,883.58
323,44,Structural,2024-06-08,Internal,Minor,Automated Testing,624.98
324,97,Functional,2024-04-06,Component,Minor,Manual Testing,195.74
325,15,Functional,2024-04-15,Internal,Moderate,Manual Testing,241.22
326,97,Cosmetic,2024-04-29,Component,Minor,Manual Testing,441.18
327,17,Structural,2024-04-01,Component,Critical,Manual Testing,274.09
328,91,Functional,2024-06-08,Surface,Moderate,Visual Inspection,268.52
329,92,Structural,2024-01-02,Component,Critical,Automated Testing,170.44
330,72,Functional,2024-03-01,Component,Moderate,Automated Testing,386.43
331,74,Functional,2024-03-01,Surface,Minor,Manual Testing,970.98
332,7,Functional,2024-05-16,Component,Minor,Automated Testing,751.73
333,24,Functional,2024-04-22,Component,Minor,Automated Testing,285.85
334,10,Structural,2024-03-15,Internal,Critical,Manual Testing,478.75
335,26,Cosmetic,2024-02-29,Surface,Minor,Automated Testing,884.79
336,92,Cosmetic,2024-04-13,Surface,Moderate,Automated Testing,44.73
337,68,Cosmetic,2024-05-24,Component,Minor,Automated Testing,952.79
338,31,Cosmetic,2024-01-03,Component,Moderate,Manual Testing,959.59
339,41,Structural,2024-02-15,Component,Moderate,Visual Inspection,312.25
340,95,Cosmetic,2024-06-23,Component,Minor,Visual Inspection,658.47
341,17,Functional,2024-05-03,Surface,Minor,Manual Testing,243.25
342,4,Cosmetic,2024-05-24,Internal,Moderate,Automated Testing,199.65
343,96,Functional,2024-01-30,Component,Minor,Visual Inspection,471.43
344,81,Functional,2024-02-06,Component,Moderate,Visual Inspection,756.85
345,61,Structural,2024-05-31,Internal,Critical,Visual Inspection,369.06
346,97,Cosmetic,2024-06-14,Surface,Minor,Manual Testing,326.19
347,90,Functional,2024-05-19,Component,Minor,Visual Inspection,22.07
348,29,Cosmetic,2024-04-18,Component,Critical,Visual Inspection,825.33
349,45,Cosmetic,2024-01-20,Surface,Minor,Automated Testing,697.77
350,33,Structural,2024-05-18,Component,Moderate,Visual Inspection,417.1
351,44,Cosmetic,2024-06-07,Surface,Minor,Visual Inspection,74.81
352,30,Functional,2024-02-24,Surface,Minor,Visual Inspection,104.54
353,29,Functional,2024-06-14,Component,Critical,Manual Testing,480.07
354,26,Structural,2024-03-13,Surface,Minor,Manual Testing,842.37
355,18,Cosmetic,2024-03-12,Internal,Critical,Manual Testing,422.03
356,9,Functional,2024-02-03,Internal,Critical,Visual Inspection,161.41
357,50,Cosmetic,2024-02-08,Component,Critical,Visual Inspection,361.26
358,71,Cosmetic,2024-05-17,Surface,Critical,Automated Testing,999.25
359,27,Functional,2024-02-17,Internal,Critical,Automated Testing,495.53
360,82,Functional,2024-06-02,Internal,Moderate,Visual Inspection,40.89
361,19,Functional,2024-06-07,Component,Moderate,Manual Testing,444.31
362,45,Structural,2024-06-20,Surface,Minor,Manual Testing,739.69
363,12,Structural,2024-06-20,Internal,Minor,Visual Inspection,577.64
364,54,Functional,2024-03-21,Component,Minor,Visual Inspection,230.65
365,40,Structural,2024-04-10,Component,Minor,Manual Testing,692.1
366,95,Functional,2024-04-04,Internal,Critical,Visual Inspection,378.29
367,21,Functional,2024-01-23,Internal,Moderate,Visual Inspection,584.9
368,35,Functional,2024-03-01,Internal,Moderate,Visual Inspection,39.01
369,47,Functional,2024-01-26,Internal,Critical,Visual Inspection,899.07
370,93,Structural,2024-01-27,Internal,Minor,Visual Inspection,96.04
371,74,Structural,2024-01-02,Internal,Moderate,Visual Inspection,269.99
372,76,Cosmetic,2024-05-14,Surface,Minor,Visual Inspection,996.49
373,92,Functional,2024-01-11,Surface,Moderate,Manual Testing,573.22
374,5,Structural,2024-06-13,Internal,Moderate,Visual Inspection,694.03
375,48,Functional,2024-05-10,Internal,Minor,Visual Inspection,963.03
376,54,Functional,2024-01-10,Component,Moderate,Manual Testing,118.46
377,97,Structural,2024-01-16,Component,Moderate,Automated Testing,773.47
378,41,Structural,2024-06-12,Surface,Minor,Visual Inspection,180.86
379,34,Cosmetic,2024-04-05,Surface,Minor,Manual Testing,18.61
380,25,Cosmetic,2024-04-10,Component,Critical,Manual Testing,176.96
381,27,Cosmetic,2024-01-07,Surface,Moderate,Visual Inspection,32.44
382,74,Cosmetic,2024-02-12,Component,Minor,Manual Testing,351.27
383,51,Functional,2024-01-05,Component,Critical,Visual Inspection,303.16
384,98,Cosmetic,2024-05-05,Internal,Critical,Automated Testing,404.15
385,83,Structural,2024-01-10,Internal,Moderate,Automated Testing,800.76
386,60,Structural,2024-01-29,Surface,Moderate,Visual Inspection,321.45
387,84,Functional,2024-02-14,Surface,Critical,Manual Testing,510.38
388,32,Structural,2024-02-17,Internal,Minor,Automated Testing,883.92
389,49,Structural,2024-04-16,Internal,Minor,Automated Testing,918.87
390,1,Structural,2024-05-19,Surface,Critical,Automated Testing,564.46
391,7,Functional,2024-06-03,Internal,Minor,Visual Inspection,889.4
392,81,Functional,2024-02-25,Component,Critical,Automated Testing,197.87
393,24,Cosmetic,2024-06-09,Surface,Critical,Visual Inspection,786.6
394,37,Functional,2024-05-04,Internal,Moderate,Manual Testing,740.36
395,81,Functional,2024-03-05,Surface,Critical,Automated Testing,667.24
